date,productName,category,sku,quantity,revenue,cost
2024-01-15,iPhone 15 Pro,Electronics,IPH15P128,5,5999.95,4199.97
2024-01-15,Samsung Galaxy S24,Electronics,SGS24256,3,2999.97,2099.98
2024-01-15,Nike Air Max,Footwear,NAM270BLK,8,1599.92,959.95
2024-01-16,MacBook Pro 16,Electronics,MBP16512,2,5999.98,4199.99
2024-01-16,Adidas Ultraboost,Footwear,AUBST22GRY,6,1199.94,719.96
2024-01-16,Sony WH-1000XM5,Electronics,SWHXM5BLK,4,1399.96,979.97
2024-01-17,iPad Pro 12.9,Electronics,IPD129512,3,3599.97,2519.98
2024-01-17,Apple Watch Ultra,Electronics,AWULTRA49,7,5599.93,3919.95
2024-01-17,Nike Dunk Low,Footwear,NDL22WHT,12,1799.88,1079.93
2024-01-18,Dell XPS 13,Electronics,DXPS13512,4,4399.96,3079.97
2024-01-18,Levi's 501 Jeans,Clothing,L501BLUE34,15,1499.85,749.93
2024-01-18,Canon EOS R5,Electronics,CEOSR5BDY,1,3899.99,2729.99
2024-01-19,Tesla Model Y Wheel,Automotive,TMY21WHI,2,1999.98,1399.99
2024-01-19,Patagonia Jacket,Clothing,PATJKTBLK,5,1499.95,899.97
2024-01-19,Bose QuietComfort,Electronics,BQCEAR45,8,2399.92,1679.94
2024-01-20,Nintendo Switch,Electronics,NSWCONS21,6,1799.94,1259.96
2024-01-20,Yeti Rambler,Home,YRAMB30OZ,20,799.80,479.88
2024-01-20,ThinkPad X1 Carbon,Electronics,TPX1C11G,3,4499.97,3149.98
